topic_id;title;pid;video_id;youtube_url
201;[VÍDEO] BRUNO SHOW - APRESENTAÇÕES - ENTREVISTA;201;lfEXsHdSXoI;https://youtu.be/lfEXsHdSXoI
202;[VÍDEO] VÍDEO DO MEU TELEFONE (1 - MARINA);202;4wUHgBZO8MM;https://youtu.be/4wUHgBZO8MM
203;[VÍDEO] TALKING GINA COMO LEGAL;203;kgGLMNPsW8w;https://youtu.be/kgGLMNPsW8w
204;[VÍDEO] VÍDEO DO MEU TELEFONE (2 - CAIXA DE SOM);204;_2-zmkwlQJA;https://youtu.be/_2-zmkwlQJA
205;[VÍDEO] MEUS TOPOLINOS;205;3_NIzr_Y9TU;https://youtu.be/3_NIzr_Y9TU
206;[VÍDEO] MINHAS REDES SOCIAIS;206;Am8XIx4w3KA;https://youtu.be/Am8XIx4w3KA
207;[VÍDEO] NOKIA 5230 REVIEW;207;cLRlZNU8r0E;https://youtu.be/cLRlZNU8r0E
208;[VÍDEO] SAMSUNG SHARK REVIEW;208;hTg4x6mV_yU;https://youtu.be/hTg4x6mV_yU
209;[VÍDEO] CYBERLINK YOU CAM 5;209;smOsjO8EbgA;https://youtu.be/smOsjO8EbgA
210;[VÍDEO] BRUNO SHOW - OFERECIMENTOS - NATUREZA;210;xV6_rctsl00;https://youtu.be/xV6_rctsl00
211;[VÍDEO] Bruno Coelho - Natureza;211;X_3a7i4y8e8;https://youtu.be/X_3a7i4y8e8
212;[VÍDEO] VÍDEOS DE WEBCAM DE BRUNOCOELHOSABINO, DESTE 17 DE MARÇO DE 2012 21:24 (PDT);212;DOdwxrxqn1k;https://youtu.be/DOdwxrxqn1k
213;[VÍDEO] UNBOXING ACER ASPIRE ONE 722 (PT-BR);213;gzGyy08q6UM;https://youtu.be/gzGyy08q6UM
214;[VÍDEO] INÍCIO - VOTAÇÃO;214;EJT2ej_1mc8;https://youtu.be/EJT2ej_1mc8
215;[VÍDEO] TITANIC DE PAPEL;215;ea24QH3jPLw;https://youtu.be/ea24QH3jPLw
215;[VÍDEO] TITANIC DE PAPEL;215;ZuYKZY7wWTg;https://youtu.be/ZuYKZY7wWTg
216;[VÍDEO] BRUNO SHOW - TITANIC - EXPLICAÇÃO;216;fyH17xZgsEg;https://youtu.be/fyH17xZgsEg
217;[VÍDEO] BRUNO SHOW - BRUNO E ALGUÉM NEWS - NAUFRÁGIOS;217;eOfZenOuupo;https://youtu.be/eOfZenOuupo
218;[VÍDEO] QIK - ANDRESSA NÃO QUERENDO SER FILMADA;218;YziCM5iqCoE;https://youtu.be/YziCM5iqCoE
